問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号(0-3),カテゴリー(パーティ/歴史/マインクラフト/F1/競馬),難易度(1-5)
2025年のセントライト記念を制した馬は？,ミュージアムマイル,ピコチャンブラック,アブキールベイ,ファンダム,0,競馬,5
2024年のローズステークスを制した馬は？,クイーンズウォーク,チェルヴィニア,カニキュル,セキトバイースト,0,競馬,4
2025年のローズステークスを制した馬は？,カムニャック,エンブロイダリー,ショウナンザナドゥ,サフィラ,0,競馬,5
2025年のデイリー杯2歳ステークスを制した馬は？,アドマイヤクワッズ,ランフォーヴァウ,ドラゴンブースト,ロブチェン,0,競馬,5
2025年の京都2歳ステークスを制した馬は？,ジャスティンビスタ,エリキング,カヴァレリッツォ,ジョバンニ,0,競馬,5
2025年の京王杯2歳ステークスを制した馬は？,ダイヤモンドノット,パンジャタワー,エイシンワンド,マイネルチケット,0,競馬,5
2025年のNHKマイルカップを制した馬は？,パンジャタワー,マスカレードボール,ロブチェン,アルマヴェローチェ,0,競馬,3
2025年の天皇賞（秋）を制した馬は？,マスカレードボール,ドウデュース,レーベンスティール,ジャンタルマンタル,0,競馬,3
2025年のエリザベス女王杯を制した馬は？,レガレイラ,エンブロイダリー,スタニングローズ,ブレイディヴェーグ,0,競馬,3
2024年のエリザベス女王杯を制した馬は？,スタニングローズ,ラヴェル,ホールネス,シンリョクカ,0,競馬,3
2025年のホープフルステークスを制した馬は？,ロブチェン,カヴァレリッツォ,エコロデュエル,ニシノデイジー,0,競馬,4
2024年の京都記念を制した馬は？,プラダリア,ベラジオオペラ,バビット,マテンロウレオ,0,競馬,3
2024年の中山記念を制した馬は？,マテンロウスカイ,ドーブネ,ジオグリフ,ソールオリエンス,0,競馬,4
2025年の中山記念を制した馬は？,シックスペンス,マテンロウスカイ,エルトンバローズ,ソールオリエンス,0,競馬,4
2024年の金鯱賞を制した馬は？,プログノーシス,ドゥレッツァ,ヨーホーレイク,ハヤヤッコ,0,競馬,3
2025年の金鯱賞を制した馬は？,クイーンズウォーク,プログノーシス,ヨーホーレイク,ドゥレッツァ,0,競馬,4
2024年の阪神大賞典を制した馬は？,テーオーロイヤル,ワープスピード,ブローザホーン,シルヴァーソニック,0,競馬,3
2025年の阪神大賞典を制した馬は？,サンライズアース,テーオーロイヤル,サリエラ,ディープボンド,0,競馬,4
2024年の日経新春杯を制した馬は？,ブローザホーン,サヴォーナ,サトノグランツ,ハーツコンチェルト,0,競馬,4
2025年の日経新春杯を制した馬は？,ロードデルレイ,ヴェローチェエラ,サヴォーナ,ブローザホーン,0,競馬,4
2024年のシルクロードステークスを制した馬は？,ルガル,アグリ,エターナルタイム,サンライズロナウド,0,競馬,4
2025年のシルクロードステークスを制した馬は？,エイシンフェンサー,ルガル,トウシンマカオ,ママコチャ,0,競馬,5
2024年の東京新聞杯を制した馬は？,サクラトゥジュール,ウインカーネリアン,ホウオウビスケッツ,アスクコンナモンダ,0,競馬,4
2025年の東京新聞杯を制した馬は？,ウォーターリヒト,サクラトゥジュール,アスクコンナモンダ,プレサージュリフト,0,競馬,5
2024年の弥生賞ディープインパクト記念を制した馬は？,コスモキュランダ,シンエンペラー,シリウスコルト,トロヴァトーレ,0,競馬,3
2024年のチューリップ賞を制した馬は？,スウィープフィート,セキトバイースト,ハワイアンティアレ,タガノエルピーダ,0,競馬,3
2025年のチューリップ賞を制した馬は？,クリノメイ,ダンツエラン,ブラウンラチェット,ゴーソーファー,0,競馬,4
2025年のフラワーカップを制した馬は？,レーゼドラマ,エリカエクスプレス,カニキュル,ミアネーロ,0,競馬,5
2024年のファルコンステークスを制した馬は？,ダノンマッキンリー,オーキッドロマンス,ソンシ,シュトラウス,0,競馬,4
2025年のファルコンステークスを制した馬は？,ヤンキーバローズ,エイシンワンド,エンドレスサマー,ジャスパーノワール,0,競馬,5
2024年のスプリングステークスを制した馬は？,シックスペンス,アレグロブリランテ,ルカランフィースト,チャンネルトンネル,0,競馬,4
2025年のスプリングステークスを制した馬は？,ピコチャンブラック,ヒシアマン,パトリオット,ウォーターリヒト,0,競馬,5
2024年のニュージーランドトロフィーを制した馬は？,エコロブルーム,ボンドガール,ユキノロイヤル,カズミクラーシュ,0,競馬,4
2025年のニュージーランドトロフィーを制した馬は？,イミグラントソング,タイセイカレント,シンフォーエバー,エイシンワンド,0,競馬,5
2024年の青葉賞を制した馬は？,シュガークン,ショウナンラプンタ,デュアルウィルダー,サトノシュトラーセ,0,競馬,4
2025年の青葉賞を制した馬は？,エネルジコ,アマキヒ,サトノシャイニング,タイセイカレント,0,競馬,4
2024年の目黒記念を制した馬は？,シュトルーヴェ,シュヴァリエローズ,クロミナンス,ジューンアヲニヨシ,0,競馬,4
2025年の目黒記念を制した馬は？,アドマイヤテラ,シュトルーヴェ,クロミナンス,マイネルウィルトス,0,競馬,5
2024年のエプソムカップを制した馬は？,レーベンスティール,ニシノスーベニア,シルトホルン,サイルーン,0,競馬,4
2025年のエプソムカップを制した馬は？,セイウンハーデス,シルトホルン,アルナシーム,レーベンスティール,0,競馬,5
2024年の七夕賞を制した馬は？,レッドラディエンス,キングズパレス,ノッキングポイント,ダンディズム,0,競馬,4
2025年の七夕賞を制した馬は？,コスモフリーゲン,レッドラディエンス,リフレーミング,ボーンディスウェイ,0,競馬,5
2024年の関屋記念を制した馬は？,トゥードジボン,ディオ,ジュンブロッサム,ロジリオン,0,競馬,4
2025年の関屋記念を制した馬は？,カナテープ,トゥードジボン,ジュンブロッサム,ディオ,0,競馬,5
2024年のキーンランドカップを制した馬は？,サトノレーヴ,エイシンスポッター,オオバンブルマイ,モリノドリーム,0,競馬,4
2025年のキーンランドカップを制した馬は？,パンジャタワー,サトノレーヴ,オオバンブルマイ,ビッグシーザー,0,競馬,4
2024年の京都大賞典を制した馬は？,シュヴァリエローズ,ディープボンド,メイショウブレゲ,プラダリア,0,競馬,4
2025年の京都大賞典を制した馬は？,ディープモンスター,シュヴァリエローズ,ブローザホーン,プラダリア,0,競馬,5
2024年のアルゼンチン共和国杯を制した馬は？,ハヤヤッコ,クロミナンス,タイセイフェリーク,アドマイヤハダル,0,競馬,4
2025年のアルゼンチン共和国杯を制した馬は？,ミステリーウェイ,ハヤヤッコ,クロミナンス,マイネルウィルトス,0,競馬,5
2024年のカペラステークスを制した馬は？,ガビーズシスター,テイエムトッキュウ,メタマックス,チカッパ,0,競馬,4
2025年のカペラステークスを制した馬は？,テーオーエルビス,ガビーズシスター,チカッパ,メタマックス,0,競馬,5
2024年のステイヤーズステークスを制した馬は？,シュヴァリエローズ,シルヴァーソニック,アイアンバローズ,ディープボンド,0,競馬,4
2025年のステイヤーズステークスを制した馬は？,ホーエリート,シュヴァリエローズ,アイアンバローズ,テーオーロイヤル,0,競馬,5
2025年のJRA賞で「最優秀ダートホース」に選出された馬は？,フォーエバーヤング,レモンポップ,ウシュバテソーロ,アマンテビアンコ,0,競馬,3
2024年のJRA賞で「最優秀4歳以上牡馬」に選出された馬は？,ドウデュース,イクイノックス,タイトルホルダー,ジャスティンパレス,0,競馬,2
2020年の菊花賞を制し、無敗の三冠馬となったのは？,コントレイル,アリストテレス,サトノフラッグ,ディープボンド,0,競馬,1
2020年の愛知杯を制した馬は？,デンコウアンジュ,アルメリアブルーム,レイホーロマンス,センテリュオ,0,競馬,4
2021年の東海ステークスを制した馬は？,オーヴェルニュ,アナザートゥルース,インティ,ダイオライト,0,競馬,4
2022年のシルクロードステークスを制した馬は？,メイケイエール,シャインガーネット,ナランフレグ,カレンモエ,0,競馬,4
2023年の京成杯を制した馬は？,ソールオリエンス,オメガリッチマン,セブンマジシャン,シャンパンカラー,0,競馬,4
2024年の日経新春杯を制した馬は？,ブローザホーン,サヴォーナ,サトノグランツ,ハーツコンチェルト,0,競馬,4
2025年の京都金杯を制した馬は？,サクラトゥジュール,トゥードジボン,セッション,コレペティトール,0,競馬,5
2020年のオーシャンステークスを制した馬は？,ダノンスマッシュ,ナックビーナス,タワーオブロンドン,キングハート,0,競馬,4
2021年のフラワーカップを制した馬は？,ホウオウイクセル,エンスージアズム,ユーバーレーベン,クールキャット,0,競馬,4
2022年のマーチステークスを制した馬は？,メイショウハリオ,ケンシンコウ,ヒストリーメイカー,アイオライト,0,競馬,4
2023年のダービー卿チャレンジトロフィーを制した馬は？,インダストリア,ジャスティンカフェ,ゾンニッヒ,マテンロウオリオン,0,競馬,4
2024年の福島牝馬ステークスを制した馬は？,コスタボニータ,フィールシンパシー,ウインピクシス,タガノパッション,0,競馬,4
2025年の小倉大賞典を制した馬は？,ロングラン,エピファニー,セルバーグ,ダンディズム,0,競馬,5
2020年のエプソムカップを制した馬は？,ダイワキャグニー,ソーグリッタリング,トーラスジェミニ,アンドラステ,0,競馬,4
2021年の函館スプリントステークスを制した馬は？,ビアンフェ,カレンモエ,ミッキーブリランテ,シゲルピンクルビー,0,競馬,4
2022年のラジオNIKKEI賞を制した馬は？,フェーングロッテン,ショウナンマグマ,サトノヘリオス,ベジャール,0,競馬,4
2023年のプロキオンステークスを制した馬は？,ドンフランキー,リメイク,タガノビューティー,オメガレインボー,0,競馬,4
2024年の札幌記念を制した馬は？,ノースブリッジ,ジオグリフ,ステラヴェローチェ,プログノーシス,0,競馬,4
2025年の新潟記念を制した馬は？,シランケド,ライトバック,シンリョクカ,キングズパレス,0,競馬,5
